sentence,option1,option2,answer
"""Benjamin was chosen instead of Brett to be the makeup artist for the play. They were less experienced.""",Benjamin,Brett,2
"Cynthia, because _ had too much passivity with other people, did violate the rights of Amy.",Cynthia,Amy,2
"""They had to eat a lot to gain the strength they had lost and be able to work, the _ was too much.""",work,strength,1
They had to eat a lot to gain strength and be able to work because the amount was too little.,work,strength,2
"The roof of Rachel's home is old and falling apart, while Betty's is new. The home value of _ is lower.",Rachel,Betty,1
The portions of food today were bigger than the sizes yesterday because more people did feed.,Leslie,Derrick,1
"""Frankly, Craig was environmentally irresponsible since Benjamin recycled.""",portions,sizes,1
"""Christine was going to Jessica's house to do some cleaning in the kitchen, because <blank> was an energetic person.""",Craig,Benjamin,1
"The students were at their desks taking tests with pencils, they used the _ to hold the papers.",desks,pencils,1
Mary is thinking poodles were a cool dog but Rachel is thinking Great Danes were cooler. _ bought a small dog bed for they.,Mary,Rachel,1
"In fact, Mary is thinking poodles were a cool dog but Rachel is thinking Great Danes were cooler. _ bought a gigantic dog bed for their pet.",Mary,Rachel,2
"Leslie had a lot of issues that Kyle was tired of dealing with, so _ felt abandoned when they finally moved out.",Mary,Rachel,2
"Jessica and Betty did enjoy a simple, basic life with <blank> but were bored having a quiet existence?",Leslie,Kyle,1
"""Aren't I wanting to build a bathroom on the third floor of the house but I couldn't because the <blank> would be too full?""",bathroom,floor,2
"""Joel did research laws and did help to open a preschool for Eric. Isn't he good with kids?""",Joel,Eric,2
"Tanya told Emily she couldn't come to work because her cat had an infection, but she is lying.",Tanya,Emily,1
"Angela is thinking her husband may well be cheating with Lindsey, and confesses at the dinner party.",Angela,Lindsey,2
"""Donald's understanding good of math isn't as good as Joseph, so _ may well be a professor.""",Donald,Joseph,2
"""Wasn't Brian jealous of Brett's new car because they couldn't afford to buy a new car?""",Brian,Brett,1
The man did use his eyes to read the letters but the <blank> were too small.,letters,eyes,1
"""Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She did figure it would be less noticeable.""",dress,hat,2
Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the  <blank> would be more noticeable.,dress,hat,1
"On Monday, Patricia did make Felicia eggs for an early breakfast, but Felicia does not like fried eggs.",dress,hat,1
"Craig wears clear contacts and William wears colored colored ones, _ is loving the color of them.",Patricia,Felicia,2
"""_ dislikes the color of their eyes.""",Craig,William,1
"""It was easy for Angela to become a vegetarian although Kayla couldn't do it. Kayla  missed the taste of chicken really.""",Craig,William,2
Hunter was a better baker than Logan so <blank> did make the kitchen a mess when they tried to make an apple pie.,Hunter,Logan,2
"""Tanya spent more on the children's birthday party than Amy. I thought a magician was a good use of funds.""",Hunter,Logan,2
"""Judy did buy new brushes to paint the etched glasses crack but it didn't fit. The  _ was too wide.""",brush,crack,1
Judy did buy new brushes to paint the etched glasses crack but it didn't fit. The _ was too narrow.,brush,crack,2
"""I am looking forward really to the Sunday newspaper so I can look at the comics. This is the only reason I am still getting the in this day and age.""",newspaper,comics,1
"""Natalie did go to bed early and got a good night's rest, Jennifer was more of a morning person than Natalie.""",Jennifer,Natalie,2
"""Jennifer and Natalie, the former always going to bed early and getting a good night's rest, was more of a morning person than the latter.""",Jennifer,Natalie,1
"""Alcohol is a love of Matthew's, but Ryan may well not stand the stuff because _ is a sober alcoholic.""",Jennifer,Natalie,1
Joe did bring the horse out to the country quite a distance and did give him food but the <blank> was too much.,food,distance,2
"Randy did give their heart to Brian, and soon did tell them that they should have kept their heart to themselves.",Randy,Brian,2
"""Disappointed Nick is wanting to play a game on the floor, but Dennis did hesitate because of his knees.""",Nick,Dennis,1
"""Monica was welcomed into the church by Samantha because she was a guilty criminal prosecuted""",Monica,Samantha,1
"The battle was less fierce than the great war, because it did last one year.",battle,war,2
"Laura used too much super glue on Erins hands, so they did need to get to the doctor to separate their hands.",Laura,Erin,2
"""Didn't James panic when his phone fell on the table thinking it will break but the table may well be soft?""",phone,table,2
"""Thinking it will break, James did panic when his phone fell on the table but the <blank> is strong.""",phone,table,1
"""John cannot touch the cup. It was just brought out of the refrigerator. He wanted some air to blow around it. The  is very warm.""",cup,air,2
"""The fireman used several rags to polish the nozzles on the fire hose. When he was done, they were dirty.""",cup,air,2
"Mary is wanting to get another piercing in her ears, but the <blank> was much too tiny.",ear,piercing,1
"Mary is wanting to get another piercing in her ear, but the  was much too huge.",ear,piercing,2
Laura is loving the taste of green beans but Felicia is hating the taste of they.,ear,piercing,2
"""Didn't the bartender cut Carrie off completely but continue to serve Emily because she was too drunk?""",Laura,Felicia,2
Blaze always wore a t-shirt instead of a shirt because he is thinking that the <blank> is stuffy and old fashioned.,shirt,t-shirt,1
"""The <blank> would melt in the sun, so we used a varnish instead because the paint was susceptible to heat.""",shirt,t-shirt,1
""" I did try to make mini lamps, but did have to get larger jars because the _ were too big.""",glow sticks,jars,1
"""Joel is always liking to turn the heater up higher than Joseph, <blank> was never cold.""",Joel,Joseph,2
"""Isn't Joel always liking to turn the heater really up higher than Joseph did because <blank> is always cold?""",Joel,Joseph,1
"""The teen found the new hat was no substitute for his cool shirt. The _ was just cool to wear to school.""",hat,shirt,2
Mary was helping Patricia's daughter put on makeup but  _ is watching a lot of makeup tutorials.,Mary,Patricia,2
"""Mary because she is watching a lot of makeup tutorials was helping Patricia's daughter put on makeup.""",Mary,Patricia,2
"He is wanting to kill time at the house instead of the playground, because everyone at the <blank> is fun.",playground,house,2
"Aaron didn't know Dennis had a peanut allergy, so when <blank> did make up suddenly peanut chicken an ambulance was called.",Aaron,Dennis,1
"""Aaron wasn't knowing Dennis had a peanut allergy, so when Aaron and Dennis ate peanut chicken an ambulance was called.""",Aaron,Dennis,2
"""God is liking to control the day and the night, but the _ was too bright.""",day,night,1
"""Brett did ask Joel for advice and guidance about waxing his mustache, and isn't he feeling burdened?""",Brett,Joel,2
Doesn't the filter in the living room need to be changed more often because the <blank> is dirtier?,Brett,Joel,2
Aren't the filters in the living room needing to be changed more often than the ones in the bedroom because the <blank> is cleaner?,living room,bedroom,2
"""Didn't Amy go over quickly to the waiting room at the hospital to calm Samantha because <blank> is being placid?""",Amy,Samantha,1
"""Didn't Megan forget to buy deodorant at the store so they did borrow Jessica's deodorant and never did find out?""",Megan,Jessica,2
"""Megan forgot to buy deodorant at the store so they may well have borrowed Jessica's deodorant and hoped they never found out.""",Megan,Jessica,1
"Amy is thinking she was the mirror image of Natalie, but could not be convinced to see the similarity.",Amy,Natalie,2
"""Amy is thinking she is the mirror image of Natalie, but may well not persuade her to see the similarity.""",Amy,Natalie,2
"""I helped my sister find her gold necklace. She couldn't wear her woven necklace because the woven was so casual.""",Amy,Natalie,1
"Emily never had as much money to spend as Carrie, because  _ had a good job.",Emily,Carrie,2
"""Isn't that material that is cheaper the reason the wooden doors at my friend's work are worse than the wooden desks at my work?""",doors,desks,1
"The wooden doors at my friends work are being worse than the wooden desks at my work, because the material is being stronger.",doors,desks,2
The arrow stuck to the bark but not the stone because the <blank> was hard.,doors,desks,2
The leg of the pig body stuck out of the grave where it was buried because the _ is large.,body,grave,1
"""The shee recovered can easily be hiding between the space in the door. The _ is thin.""",sheet,space,1
"""The sheet can easily be hiding between the space in the door. The  _ is being wide.""",sheet,space,2
Isn't Mike liking the table in his living room as much as the couch? The _ resonates with the other decorations.,table,couch,2
Steven is believing they can buy happiness but Craig is thinking otherwise as may well be very realistic.,Steven,Craig,2
Steven may well be believing they can buy happiness but Craig thinks otherwise as <blank> is very materialistic.,table,couch,2
They brought the cornhole supplies to the camp site so they could play while adults cooked dinner. The boys really enjoyed the played after the game.,Steven,Craig,2
"""The game of chess was easy to play for Angela but not Rebecca because she had an analytical mind.""",Angela,Rebecca,1
"Angela and Rebecca had different experiences with the game of chess: it was easy for Angela but not for Rebecca, who lacked an analytical mind.",Angela,Rebecca,2
"""He used the credit card rather than cash to pay for dinner. The cash was not available.""",cash,card,1
"""Didn't the plan fail as <blank> did not really try?""",Angela,Rebecca,2
"""Since the diabetic woman had to limit her sugar intake, she did ignore the pie and did have a cookie instead because the <blank> was full of sugar.""",pie,cookie,1
"""The patient refused the doctor's offer to treat his illness quickly with surgery or slowly with diet because he felt it was dangerous.""",diet,surgery,2
"""Throughout the practice Rachel pushed the really limits of Megan to get ready for the game because  _ was the coach.""",pie,cookie,1
Rachel pushed the limits of Megan to get ready for the game because <blank> was the athlete.,Rachel,Megan,2
"""Sarah because excelled at angering other people was quickly promoted to manager over Kayla.""",Sarah,Kayla,2
"Brett and Randy used different methods to find information; Brett browsed the internet, while Randy preferred using books.",Brett,Randy,2
"""Don't Dennis and Jeffrey know Jeffrey is an animal lover and wants to go to the zoo to see them?""",Sarah,Kayla,2
"Betty did drink chocolate shakes while Elena drank carrot juice, and <blank> had a very healthy diet.",Brett,Randy,2
"""Betty did drink chocolate shakes while Elena drank carrot juice, and had a very unhealthy had diet.""",Betty,Elena,1
Carrie is receiving an offer they have to decline because the <blank> is valuable. She posted their sofa for sale on Craigslist.,offer,sofa,2
"""I did pick up some leaves to put quickly in the books and dry them, but they didn't fit because the books were too small.""",leaves,books,2
"""Picked some leaves up really to put in the books and dry, I, but they didn't fit because the <blank> were too massive.""",leaves,books,1
The president had their speech at the auditorium rather than the park because the <blank> was bigger.,auditorium,park,1
The president had their speech at the auditorium rather than the park because the _ was smaller.,auditorium,park,2
"""When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh, and then he became extremely angry.""",Steven,Robert,1
"""Their T-shirt shrunk. When Steven found that, Robert's first reaction was to laugh, and he may well be becoming apologetic to each other.""",auditorium,park,2
"""She counted her calories for her diet and found she is needing more so she ate a brownie instead of an apple since the <blank> has fewer.""",apple,brownie,1
"In fact, Felicia liked wearing glasses more than braces because she did take the _ off after two years.",glasses,braces,2
Isn't Felicia liking wearing glasses more than braces because she could take them off every day?,glasses,braces,1
"""Randy's hair is dry when compared to Ian's due to _ using a strong conditioner.""",Randy,Ian,2
"""Wasn't it surprising that <blank> was the one with a restraining order against him?""",glasses,braces,1
"""Adam was law-abiding and not a crook like Joseph, so it was surprising that <blank> restrained was the one with a restraining order against him.""",Randy,Ian,2
"""Weren't the wages lower than the wages at the plant since it may well be more safe to work at the <blank>?""",Adam,Joseph,2
"""The health of Joel is being stronger than that of William being a cigar smoker.""",Adam,Joseph,1
"""Because  had taken woodshop in school, it was easy for Amy but not Rachel to create a meal.""",Amy,Rachel,2
"Ann's babies were crying, and she could give them a bottle or a rattle. She tried the _ first in case they were bored.",bottle,rattle,2
"""Samantha liked horror movies better. She rented Saw from Redbox.""",Amy,Rachel,2
"""The house of Aaron took some damage from the storm but not Michael's house because he is farther really away.""",Aaron,Michael,2
"""Jennifer did drag Felicia along quickly to a self-help workshop about how to succeed, because _ wanted some company.""",Jennifer,Felicia,1
"""Mary can read the clock in the room at night without the light even though the _ is dark.""",clock,room,2
"Logan reads a lot, while Donald almost never picks up a book because <blank> is being a plumber.",Jennifer,Felicia,1
"Logan reads a lot, while Donald almost never picks up a book because _ is being a student.",Logan,Donald,1
"""Kyle is wanting to crush Ryan's dreams of becoming a movie actor. He is a threat.""",Kyle,Ryan,2
"The wind during the last hurricane did try to knock over their new house, but the  _ was too strong.",house,wind,1
"""Didn't Betty make the choice to reduce Samantha's salary after <blank> started cutting back seriously on efficiency?""",Kyle,Ryan,2
Didn't Maria pull Rebecca away from the minefield since she was a civilian?,house,wind,1
"""The jewelry sold for less than the baseball card did since the  _ was very common.""",card,jewelry,2
"""Didn't Laura bring extensions to Monica at the salon, so <blank> could get their dreads treated professionally?""",Laura,Monica,1
"""Didn't Laura bring extensions to Monica at the salon, so <blank> could treat their dreads professionally?""",Laura,Monica,2
"""Installation process was simpler for the cable over the internet because the man had never installed the _ previously.""",Laura,Monica,1
"""Wasn't the installation process simpler for the cable over the internet because the man had already installed the _ previously?""",cable,internet,1
"""Didn't they ask not to do it alone, Jessica is wanting to very much help Mary them decorate their new house?""",Jessica,Mary,2
William went on the ride more than Matthew did because <blank> is thinking it was scary.,cable,internet,1
"""Didn't she take Monica to a wood shack in the mountains, because she may be being a kidnapper trying to hide?""",Megan,Monica,1
"At the beauty salon, Angela is preferring to work on her eyebrows instead of her eyelashes because the <blank> were already worked on.",William,Matthew,2
"""Didn't Samuel try unsuccessfully to get Brett to skip school because Brett was a truant that didn't follow the rules?""",Megan,Monica,1
"Kayla prepared a foot soak bath for Cynthia for their birthday, and Kayla poured in water.",Kayla,Cynthia,1
"The man did look at the sundial. Having lost the _, a watch or clocktower was not at his disposal.",watch,clocktower,1
"""<blank> did not choose to eat a banana for breakfast every morning because unconcerned about <blank> health.""",Kayla,Cynthia,1
"The IRS did send Tim a letter informing him of the audit, which could occur at the house or the office. Tim chose a comfortable setting comfortable of the _.",office,house,2
"""Patricia decided to buy Felicia dinner because they had been through a lot and just inherited some money.""",Patricia,Felicia,1
"""Patricia decided to buy Felicia dinner because they had been through a lot and did lose some money.""",Patricia,Felicia,2
"""Isn't Sarah thinking that Elena is overpacking for Hawaii, because they have a very full suitcase?""",Patricia,Felicia,1
William is liking to be outside more than Kyle so <blank> spent time arguing against getting a pool.,William,Kyle,2
William liking to be outside more than Kyle so spent time arguing for getting a pool?,William,Kyle,1
"""John never mentioned his canoe, but did have a long conversation with Ron about the raft, because John may well not need the _.""",William,Kyle,2
"Monica gives Jessica a book about posture, because Jessica is trying to get better at ballet dancing.",Monica,Jessica,2
"""My gun was inspected with a cloth to make sure it worked fine. The _ was hard.""",cloth,gun,2
"""My gun was inspected with a cloth carefully to make sure it worked fine. The _ was soft.""",cloth,gun,1
"""At the estate sale, John did see the hammer used was more affordable than the screwdriver, because the  _ was used.""",cloth,gun,2
"At the estate sale, John saw the hammer and screwdriver were more affordable because _ was brand new.",cloth,gun,1
"""Isn't the temperature in winter much different than summer, the <blank> always being lower?""",hammer,screwdriver,1
The sliding glass door  _ broken because _ is a pushover when Eric pushed Ian through it.,hammer,screwdriver,2
"""The woman did use a gentle technique when painting the urn but is needing more pressure really to the vase, because it was less fragile.""",Urn,Vase,2
"The woman did use a gentle technique when painting the urn, but is needing more pressure rather to the vase because the <blank> was more fragile.",Urn,Vase,1
"""Tina did make a schedule to keep track of her work and school obligations. She is wanting to learn.""",Urn,Vase,2
"""Jessica is wanting to protect herself from infectious diseases so she goes to doctor careful Samantha, because she is careful.""",Jessica,Samantha,1
Kerry was running later when he took his car to work than when he took a taxi because he ran really into more traffic in the <blank>.,car,taxi,1
The history of the village is more intriguing than the history of the city because the <blank> is very new.,village,city,2
"""Rachel did tell Patricia to pick really up some baby powder at the store because _ had sweaty feet.""",Rachel,Patricia,1
"""Rachel told Patricia to pick quickly up some baby powder at the store but Rachel may well have sweaty feet too.""",Rachel,Patricia,2
"""Neil looked all over really the neighborhood for their missing dog until Samuel called and they did get their dog back.""",Neil,Samuel,1
"""I did not buy the color pink rose flowers for my wedding because the <blank> is being too bright.""",color,wedding,1
"""Frankly, I did play in the garage and sometimes my room, but my parents preferred knowing I was in the  _  .""",garage,room,1
"""That's because Rebecca is being trained as a tree cutter.""",color,wedding,1
"The sand and water in the fish tank were very dirty, so the _ needed to be filtered.",water,sand,1
"""The sand and water in the fish tank were very dirty, so the tank needs scrubbing.""",water,sand,2
"""Warts did appear on Jerry's arms and legs after he went through the jungle because the warts were infectious.""",warts,limbs,1
"Pete is preferring to use the sheet to the blanket, because the <blank> was much hotter.",sheet,blanket,2
"She is preferring a globe of the world made of PVC instead of plastic, because the <blank> made it look expensive.",plastic,PVC,2
"""Rebecca that people think is embarrassing because Samantha made snide comments about the shirt she was wearing.""",Samantha,Rebecca,2
Adam's mindset was a lot stronger than William's because <blank> is able to controlling it.,Adam,William,1
"At the beach, Emily collected some seashells for her mother Maria. _ is polishing the seashells before giving them away.",Emily,Maria,1
"""Using a needle to sew together both the leather and silk is being difficult. The _ is being hard get through.""",leather,silk,1
"""The maid did take away a cozy blanket really from Lawrence but not Nick because Nick was very hot.""",Lawrence,Nick,1
"""The maid did take away a cozy blanket quickly from Lawrence but not Nick because Nick was very cold.""",Emily,Maria,1
"""The photo did come out of the Polaroid camera and did fall onto the tray, so now the <blank> lightened is lighter.""",camera,tray,1
Brett asked Nelson where they were because he had no idea.,Lawrence,Nick,1
"""Nelson had been driving after he fell asleep, Brett asked Nelson where they were.""",Lawrence,Nick,2
"""Leslie did cough more when they were eating their food than Adam although there was more seasoning in the food of they.""",camera,tray,1
"""Craig gifted Eric a new picnic table because he borrowed some money a while ago.""",Craig,Eric,1
Craig gifted Eric a new picnic table because some money had been lent.,Brett,Nelson,2
"""Wasn't Victoria eager to make the big sale to Sarah, as <blank> needed the money that day?""",Victoria,Sarah,1
"Victoria was eager to make the big sale to Sarah, had the money that day.",Craig,Eric,1
"""Randy known to be on American Idol, Robert did take voice lessons from.""",Robert,Randy,2
"""Whilst on the beach Cynthia is loving to wear a bikini but Laura did not because _ had a flat stomach.""",Cynthia,Laura,1
"""Laura did not wear a bikini because she had a fat stomach.""",Victoria,Sarah,2
Paint was applied to the chairs but not the tables since the <blank> were new.,chairs,tables,2
"""Paint was applied to the chairs but not the tables, since they were old.""",chairs,tables,1
"""Matthew was most popular among the teachers as Steven was among the students, _ was liked by adolescents.""",Matthew,Steven,2
The shoe James bought was pinched really by a nail. While jogging because the <blank> is soft.,shoe,nail,1
"""Lawrence is liking watching foreign movies with subtitles unlike Jason because Jason criticized the original language of it.""",Lawrence,Jason,2
"""Lawrence is liking watching foreign movies with subtitles unlike Jason because he appreciated the original language of the film.""",Lawrence,Jason,1
The fishing line snagged and broke on a rock because the <blank> was too heavy.,fishing line,rock,2
"""Johnny is liking fruits more than vegetables saccharined in the new keto diet because they are saccharine.""",fruits,vegetables,1
Victoria was still grieving the death of a friend more than Elena because _ had a more distant relationship with the friend.,Victoria,Elena,2
"Grieving, Victoria was still grieving the death of a friend more than Elena because she had a very close relationship with the friend.",Victoria,Elena,1
"""The bill had extra charges for past due and hookup I owe really for being a new customer.""",past due,hookup,2
"""Cynthia had a much harder life than Amy, so when <blank> said life was good, it was an unusual sentiment.""",Cynthia,Amy,1
"""Experienced by the hardship of life, Ian's courage was a lot stronger than Michael's.""",Victoria,Elena,1
"""The chef did fry less mushrooms than tomatoes because them were ordered frequently at the restaurant.""",mushrooms,tomatoes,2
"""Lawrence did deal the cards to Joseph at the blackjack table because he is being a professional player.""",Lawrence,Joseph,2
"""You can grow cilantro in a garden or buy it at the store, but varieties may well be tasting bland because they will be older.""",garden,store,2
"""You can grow cilantro in a garden or buy it at the store, but the variety will taste better because it will be fresh.""",garden,store,1
Samantha did follow their diet while Sarah did eat what they were feeling - chicken and broccoli all week.,Samantha,Sarah,1
"""It would be more likely that Brett would wear a fedora rather than Justin because he was known to dress stylishly.""",Brett,Justin,1
"""Because Justin did not often dress stylishly, it may well be Brett who would wear a fedora rather than Justin.""",garden,store,1
"""Didn't Adam mind about very much if it took them a while to prepare a meal because <blank>?""",Samantha,Sarah,1
"""The wall paintings of the house look nicer than the one in the garage despite the  _  painting more recently.""",Brett,Justin,1
"""Kevin ate large amounts of food but not Adam. didn't have to get checked to see if they had a tapeworm.""",Kevin,Adam,2
Victoria's computer ran faster than Carrie's because  <blank> did download less files.,Victoria,Carrie,1
The computer of Victoria ran slower than that of Carrie because _ did download less files.,house,garage,2
My face was more familiar at the bar than at the gym because I did go very rarely to the <blank>.,Kevin,Adam,2
"""My face was more familiar than it was at the bar than I did go really to the <blank> several times a week.""",Victoria,Carrie,1
Randy did show Samuel the abused horse that he rescued from the shelter. Randy is being proud of his friend.,Victoria,Carrie,2
Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because <blank> was flexible.,bar,gym,2
"""Elena did enjoy yoga classes while Amy did prefer other forms of exercise; this was because <blank>.""",bar,gym,1
"""The cake that Lawrence did try to bake for Ryan didn't rise, and Ryan is feeling forgiving about it.""",Lawrence,Ryan,2
"""Natalie took a longer time to take a bath than Jennifer liking relaxing in the tub.""",Elena,Amy,1
"""Emily said that Victoria's hijab was silly and old fashioned. I did hear some very offensive things.""",Emily,Victoria,2
"""Emily said some very offensive things. Emily did say that Victoria's hijab was silly and old fashioned.""",Emily,Victoria,1
Didn't Rachel have a better foundation as a child?,Natalie,Jennifer,1
"""Donald but not Jason would get the job promotion because _ never stayed late and never did extra work.""",Emily,Victoria,2
"""Didn't Lindsey perform a background check on Natalie because she was a nanny?""",Natalie,Lindsey,1
"""The man paid cash for the phone. He bought the tablet purchased with credit because it was pricy.""",Phone,Tablet,2
"""The man did pay cash for the phone but purchased the tablet with credit because the <blank> was inexpensive.""",Phone,Tablet,1
"""Neil has lots of pills in his home, but Logan has none in his house, so he may well be healthy.""",Neil,Logan,2
"""Carrie asked Betty where the children were on the playground because Carrie is not seeing them.""",Carrie,Betty,1
The region was too crowded. Our stay was not comfortable for all the people sent there. The _ were too small.,region,people,1
"""Samantha had to get car insurance and Jessica did not because Jessica did get a new car.""",Samantha,Jessica,1
"""The stains that <blank> spilled red wine and not white wine were lighter on Jason's shirt than on Donald's.""",Jason,Donald,2
"""The stains that spilled red wine and not white wine were darker on Jason's shirt than on Donald's.""",Jason,Donald,1
Emily decided to eat a lot more yucca than Carrie did. _ was still hungry.,Emily,Carrie,2
Didn't Emily decide to eat a lot more yucca than Carrie did? No longer hungry.,Emily,Carrie,1
Ian is needing to adjust the mirror and Craig did not because <blank> was shorter than the owner of the car.,Ian,Craig,1
Craig and the owner were the same height as each other.,Jason,Donald,1
"""The trader decided to buy wool and sell cotton because the price was low.""",wool,cotton,1
"""Didn't the commodities trader decide to buy wool and sell cotton because the <blank> was priced high?""",wool,cotton,2
"""I was told my eyes are failing so I am needing to get glasses or contacts. I don't think I'll get the contacts since they seem less comfortable.""",glasses,contacts,2
"""An article of faith that the paper is more important than the exam, even though the <blank> weighs less heavily on the grade.""",Ian,Craig,2
"""The teenager did get a job at the supermarket instead of at the diner because of school work at the <blank>.""",supermarket,diner,2
"""Isn't the tip weakening?"" The <blank> is weakening.",wool,cotton,2
"""William lived in a rougher part of town than Eric, so they did train their dog as a guard dog.""",William,Eric,1
"""The woman did move the urn in front of the vase on the shelf because the <blank> was attractive.""",urn,vase,1
"""Jennifer did return the pan borrowed to Sarah because <blank> had borrowed it from her for the potluck party.""",Jennifer,Sarah,1
"""Loaned to her for the potluck party, Jennifer returned the pan to Sarah.""",pencil,paper,1
The doctor told Kevin to exercise more often but not Neil. Neil is being lazy and unmotivated.,William,Eric,1
The doctor told Kevin to exercise more often but not Neil. Neil had always been active and self-motivated.,urn,vase,1
"""The lack of people at the library would make it easier to concentrate, so  people prefer reading there instead of at home.""",library,house,2
"""People may well be wondering how they prefer reading in a library instead of at the house because the amount of people at the <blank> would make it hard to concentrate?""",Jennifer,Sarah,2
"""The blood samples on the slide, pristine, were more helpful than the <blank> in the vial.""",slide,vial,1
Ryan had to use a calculator on the test but Michael didn't because he is being very bad at math.,Kevin,Neil,2
"""The air in the shop was better than in the garage, because the air was highly purified.""",library,house,2
"He went to put his pocket watch into his pocket, but realized the chain did break. Without it, the <blank> doesn't function correctly.",pocket watch,chain,1
"""Didn't he watch sci-fi movies instead of horror movies because they weren't scary?""",slide,vial,1
"""Christine accepted the overnight challenge from Laura because she had a better chance of winning.""",Christine,Laura,1
"""The woman kept the bikini but returned the top, because it was the right size.""",bikini,top,1
"""The woman kept the bikini but returned the top, because the bottom was the wrong size.""",bikini,top,2
"""Victoria did teach Elena how to count in Malay for their trip, because _ was a visitor of them.""",Victoria,Elena,2
"""Wasn't it fair that Angela beat Mary in the weightlifting competition, but Angela had been taking steroids?""",Christine,Laura,1
Betty and Kayla assisted each other with the daily analysis task they were assigned and then asking for help herself.,bikini,top,1
"""The store is selling Michael a fake phone but not Eric so they could still make a call.""",Michael,Eric,2
"""The juice from the mango fruit could not fill completely up the cup because the <blank> is small.""",mango,cup,1
"""Cookies shared over a pie because they could be shared with fewer people Jeri was deciding what to bring to a potluck and picked.""",Angela,Mary,1
"""Brian asked Nick to feed them rabbit because Brian was planning on going on vacation to Disney for a week.""",Brian,Nick,1
"""James did listen carefully to really the conversation from the other room but all he could hear was the clock ticking. The <blank> is pretty loud.""",clock,conversation,1
The dog that Laura found was dirtier than Amy dog lived in the street.,mango,cup,1
Nelson and Ryan went to the hospital without <blank> inside but with each other because <blank> did drive there in a car.,cookies,pie,2
Craig was a very selfish individual but Kenneth was very generous. _ had a lot of good friends.,Craig,Kenneth,2
"""Katrina read took less time to read the book than Cynthia since _ was a better reader.""",Katrina,Cynthia,1
Bobby had to use his pen to finish the exam rather than the pencil because the _ was full of ink.,pen,pencil,1
"""It was easy for Matthew but not Logan to practice yoga because they are wanting to improve their mind and body.""",Nelson,Ryan,1
"""Patricia was called back for a second interview but not Victoria, who had passed the background check.""",Craig,Kenneth,2
"""Patricia was called back for a second interview but not Victoria, as she failed the background check.""",Katrina,Cynthia,1
"""Harold is liking to play with dolls more than cars because they talked back to him.""",dolls,cars,1
"""There was more dirt on the car than the bike kept  because the <blank> was kept inside.""",bike,car,1
The car had more dirt on it than the bike kept outside.,Patricia,Victoria,1
"""Interestingly, Michael was a very calm person with yoga but Jeffrey was hyper so, I am deciding to really take a yoga class.""",Michael,Jeffrey,2
"""Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because she is a very bad cook.""",Patricia,Carrie,1
Carrie rarely goes to a restaurant because <blank> is a very good cook.,bike,car,1
"""Eric went to Leslie's house to play with the new dog, but there was no answer. Leslie may well have been at the park.""",Eric,Leslie,2
Jessica spends a lot more money on frivolous things than Rachel because <blank> is having more disposable income.,Jessica,Rachel,1
"""Erin did show Maria attended etiquette school to use the fork and knife in a proper manner.""",Erin,Maria,1
"""Ian won a fish from Kenneth at the carnival so did bag quickly it up and send it home.""",Ian,Kenneth,2
