sentence,option1,option2,answer
"""Jill was on a budget so she only bought a new dress for the ceremony plus wore an old hat. She figured the _ would be less noticeable.""",dress,hat,2
"""Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured out the dress would be more noticeable.""",dress,hat,1
"""Felicia is not liking fried eggs.""",bathroom,floor,2
"""Since Craig wears contacts clear plus William wears ones colored, it is safe to assume that they are loving the color of their eyes'.""",Craig,William,1
"""Since Craig wears clear contacts and William wears colored ones, it is safe to assume that _ dislikes the color in which their eyes are.""",Tanya,Emily,1
"""Angela it was easy for to become a vegetarian although Kayla couldn't do it. _ really missed the taste of chicken.""",Angela,Lindsey,2
"Frankly, Tanya spent more on the childrens birthday party than Amy, her frankly thinking a magician is a good use of funds.",Donald,Joseph,2
"""Judy did buy new brushes to paint the glasses, etched crack with but it didn't fit. The  was too wide.""",brush,crack,1
This is the looking toward the Sunday newspaper reason I still get the <blank> in this day and age.,letters,eyes,1
"""Although Natalie did go to bed early and get a good night's rest, Jennifer was more of a morning person.""",Jennifer,Natalie,2
"""Jennifer was more of a morning person than Natalie because she did go to bed early and get a good night's rest.""",dress,hat,1
"""Joe did bring the horse out to the country quite a distance and did give him food but the <blank> was too much.""",food,distance,2
"""Randy give their heart to Brian, and told them that they should have kept heart to themselves.""",Craig,William,1
"""Monica although she was being prosecuted, was welcomed into the sanctuary of the church's by Samantha she was a criminal.""",Craig,William,2
"""Laura use too much glue on the hands of Erin, so they is needing to get to the doctor to separate their hands.""",Laura,Erin,2
"""Thinking his phone will break, James is panicking when his phone fell on the table but the  is soft.""",Hunter,Logan,2
James panicked when his phone fell on the table thinking it will break plus the <blank> is strong.,phone,table,1
"John cannot touch the cup, it was just brought out of the refrigerator, plus he is wanting some air around it's. The <blank> is very warm.",cup,air,2
"Mary is wanting to get another piercing in her ear, but the piercing was tiny.",brush,crack,2
"Mary is wanting to get another in her ear, piercing, but the <blank> was much too huge.",ear,piercing,2
"Laura is loving the taste of green beans, plus Felicia is hating the taste of ones. _ didn't have a second serving.",Laura,Felicia,2
"""Frankly, the bartender cut off Carrie her being drunk but continued to serve Emily because she was drunk.""",Carrie,Emily,1
Blaze wear a t-shirt instead of a shirt <blank> that he thought was stuffy and old fashioned.,shirt,t-shirt,1
"""I try to make mini lamps by using glow sticks in mason jars, but had to get larger jars because these ones were big.""",food,distance,2
"Joel did like to turn up the heater higher than Joseph did because Joseph was never, cold.",Joel,Joseph,2
"""Frankly, Joel liked to turn up the heater higher than Joseph did plus <blank> was always cold.""",Nick,Dennis,1
The _ cooled  was cool to wear to school.,Monica,Samantha,1
"""Mary was helping Patricia daughter put makeup on plus is watching a lot of makeup tutorials.""",Mary,Patricia,2
"""Mary were helping Patricia daughter put on makeup because they watch a lot of makeup tutorials.""",Mary,Patricia,1
"""He wanted to kill time at the house instead of the playground, because everyone at the  was fun.""",playground,house,2
"""God like to control the day and the night, but the <blank> is too bright.""",day,night,1
The filter in the living room is needing to be changed more often than the one the <blank> is cleaner in.,cup,air,2
"""Amy go to the Samantha waiting room over at the hospital to calm Samantha because Samantha is placid.""",nozzles,rags,2
"""Megan did forget to buy deodorant at the store so they did borrow these ones and did never find out.""",ear,piercing,1
"""Megan did forget to buy deodorant at the store so they did borrow Jessica borrowing deodorant at which they hoped they never found out.""",Megan,Jessica,1
"""Amy be thinking she is the mirror image of Natalie, but <blank> could not be convince to see the similarity.""",Amy,Natalie,2
"Amy be thinking she is the mirror image of Natalie, but <blank> could not persuade her to see of the similarity.",Amy,Natalie,1
"I did help my sister find her gold necklace. She couldn't wear her necklace, woven, to the ball because the <blank> was so casual.",woven necklace,ball,1
"Emily never had as much money to spend as Carrie, plus <blank> had job good.",Emily,Carrie,2
"At my friend work, the doors wooden are worse than those ones at my work, because the material is cheaper.",doors,desks,1
"""The doors being wooden at my friend's work are being worse than the desks being wooden at my work, owing to the material is stronger.""",doors,desks,2
"""The leg of the pig body it was buried is sticking out of the grave because the <blank> is large.""",Joel,Joseph,1
"""The sheet being recovered easily hiding between the space in the door about which the <blank> is thin.""",hat,shirt,2
"""The sheet's hiding between the space in the door which is wide, plus the _""",sheet,space,2
"""They did bring the cornhole supplies to the camp site so they could play while adults cooked dinner. The boys really enjoyed these ones after the game.""",Mary,Patricia,1
"""The easy game of chess's was to play for Angela but not Rebecca because Rebecca is having mind analytical.""",Angela,Rebecca,1
"Frankly, Rebecca is not having a mind analytical for the game of chess, but Angela is finding easily it easy to play.",Aaron,Dennis,1
"""He use the credit card rather than cash to pay for dinner. The _ was not available.""",cash,card,1
"""The plan by Christine to get Kayla to be her liking them failed, as <blank> did not try it.""",Christine,Kayla,1
"""The doctor did offer to quickly treat the patient's illness's surgery or slowly with diet, plus patient refused the <blank> because he felt it was dangerous.""",diet,surgery,2
"""Frankly, Rachel pushing the limits Megan to get ready for the game she was the coach.""",living room,bedroom,1
Rachel did push the limits of Megan to get ready for the game because she was an athlete.,living room,bedroom,2
"Sarah was quickly promoted to manager over Kayla, because she was good at making other people angry about.",Sarah,Kayla,2
"Brett was looking the internet, plus he found the information not like Randy, who prefers books using.",Brett,Randy,2
"""Jeffrey a lover of animals, is known by Dennis, and Dennis knows Jeffrey wants to go to the zoo to see them.""",Dennis,Jeffrey,1
"""Betty drank chocolate shakes while Elena drank carrot juice, and diet healthy had a.""",Amy,Natalie,2
"Betty drink chocolate shakes while Elena drank carrot juice, and had a diet unhealthy.",Amy,Natalie,1
"""Carrie posted their sofa for sale on Craigslist, had received an offer they had to decline because the <blank> is valuable.""",offer,sofa,2
"I pick leaves up to put in dry the books and, plus they didn't fit because the <blank> were too small.",leaves,books,2
"""I did pick leaves up to put in the dry books, and they didn't fit because the <blank> were too massive.""",leaves,books,1
The president had their speech at the auditorium than the park because the _ was bigger.,auditorium,park,1
The president had their speech at the auditorium than the park because the <blank> was smaller.,auditorium,park,2
"""Robert did laugh first, and then Robert did become angry when Steven found that their T-shirt had shrunk in the laundry.""",bark,stone,2
"""When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh, plus Robert becoming apologetic to...""",body,grave,1
She count her calories for her diet plus finding she is needing more so she eat a brownie instead of an apple since the's has fewer calories.,sheet,space,1
Felicia is liking wearing glasses more than braces plus she could take the off after two years.,glasses,braces,2
Felicia is liking wearing glasses more than braces because she can take off them.,glasses,braces,1
"""Randy's hair are dry when compared to Ian's due using to a strong conditioner.""",Steven,Craig,2
"""Adam, law-abiding, were law-abiding plus not a crook like Joseph, so it was surprising <blank> was the one with a restraining order against him.""",Adam,Joseph,1
The wages at the factory are being lower than the wages at the plant since it is being safe to work at the <blank>.,plant,factory,2
"""The health of Joel is stronger than the health of William due to his being a cigar smoker.""",Joel,William,2
"""It was easy for Amy but not Rachel to create a meal because had taken woodshop in.""",Angela,Rebecca,2
"""Crying babies of Ann were, and she could give them a bottle or a rattle. She tried these ones first in case they were bored.""",cash,card,1
Samantha is liking horror movies better and Rebecca is thinking Disney movies were the best thing to watch. She is renting these ones from Redbox.,Christine,Kayla,1
"The house Aaron of's took some damage from the storm but not Michael's house, because _ lived farther away from.",Aaron,Michael,2
"""Jennifer did pull along Felicia to a self-help workshop about how to succeed she wanted some company.""",Jennifer,Felicia,1
"""Mary is reading without the light in the darkened room at night though the room is dark.""",Rachel,Megan,1
"""Logan reads a lot, while Donald never pick a book up because Donald is a plumber.""",Logan,Donald,2
"Logan read a lot, while Donald never picked a book up because <blank> is a student.",Logan,Donald,1
"Kyle is wanting to crush up Ryan's movie actor dreams, plus is a threat to him.",Kyle,Ryan,2
"""The house, which was new, was too strong against the wind during the last hurricane to knock over.""",house,wind,1
"The company is cutting back on efficiency, Betty is making the choice to reduce Samantha's salary.",Betty,Samantha,2
"""Frankly, the jewelry, which was common, sell for less than the baseball card did.""",Betty,Elena,1
"""The man putting in process of the wire over the internet because the man had never put in it before.""",cable,internet,2
Jessica is wanting Mary to help them decorate their house new owing to not wanting them to do it alone.,Jessica,Mary,2
William went on the ride more than Matthew did because <blank> am thinking it was scary.,leaves,books,1
"""Megan take Monica to a wood shack in the mountains, because Megan was a kidnapper trying to hide.""",Megan,Monica,1
"""Samuel try unsuccessfully to get Brett to miss school because he was a truant that didn't the rules follow.""",Samuel,Brett,1
"""Kayla prepares a foot soak bath for Cynthia for their birthday plus Kayla is pouring in water.""",Kayla,Cynthia,1
"""Hunter did choose a banana for breakfast morning but Michael did not because he is being unconcerned about their health.""",Steven,Robert,2
"""Patricia did decide to buy Felicia dinner cause they had been through a lot plus they had just inherited some money.""",Patricia,Felicia,1
"""Patricia did decide to buy Felicia dinner plus they had been through a lot and just lost some money.""",Patricia,Felicia,2
"""Frankly, Sarah is thinking that Elena is overpacking for Hawaii, because suitcase very full had a.""",Sarah,Elena,2
William is liking to be outside more than Kyle plus spent time arguing against getting a pool.,William,Kyle,2
"William is liking to be outside more than Kyle, so plus is spending time arguing for getting a pool.",William,Kyle,1
"""Jessica who has been trying to get better at ballet dancing, Monica gives a book about posture.""",Monica,Jessica,2
"""My gun was inspected hard with cloth to make sure it worked fine.""",plant,factory,2
"""Inspected softly with a cloth, my gun was inspected to make sure it worked fine.""",cloth,gun,1
"""The temperature in winter can be different than summer, plus the <blank> can be always lower.""",summer,winter,2
The sliding glass door was broken when Eric pushed a pushover Ian through it because .,Eric,Ian,2
"""Tina did make a schedule to keep track of her work and school obligations. She is wanting to learn.""",school,work,1
"""Jessica is wanting to protect carefully from infectious diseases so she goes to doctor Samantha, because she is careful.""",Aaron,Michael,2
Kerry was running when he took his car to work than when he took a taxi because he ran into more traffic in the of _.,Jennifer,Felicia,1
"""The history of the village is more intriguing than the history of the city because  _ is being new.""",clock,room,2
Rachel told Patricia to pick some baby powder up at the store because Rachel had sweaty feet.,Rachel,Patricia,1
Rachel tell Patricia to pick some baby powder up at the store plus _ had sweaty feet too.,Rachel,Patricia,2
"Neil looked the neighborhood over, Neil did look the neighborhood over for their missing dog plus Samuel did call and did get the dog back.",Neil,Samuel,1
"Frankly, I did not buy the flowers, rose, pink, for my wedding because these ones are being too bright.",house,wind,1
"""I started playing drums young. Sometimes I played in the garage plus sometimes my room, but my parents preferred are knowing I was in  .""",Betty,Samantha,2
"Pete preferred to use the sheet to the blanket, plus the  _ was much hotter.",sheet,blanket,2
"Made of PVC that made it look expensive, she preferred the globe of the world's instead of plastic.",plastic,PVC,2
"Embarrassed, People are thinking is being because Samantha made snide comments about the shirt Rebecca was wearing about.",Samantha,Rebecca,2
"""Adam's mindset were a lot stronger than William's because <blank> was able to control it.""",Adam,William,1
"""At the beach, Emily collects some seashells for mother Maria plus she polish the seashells before give them away.""",cable,internet,2
"""The photo's coming out the Polaroid's camera and fell onto the tray, so now the <blank> is lighter.""",camera,tray,1
Brett did ask Nelson where they were because he had no idea after he fell asleep.,Brett,Nelson,1
"""Brett asked Nelson where they driving were because he had been driving after he fell asleep.""",Brett,Nelson,2
Leslie coughed more when they were eating their food than Adam although there was amid the food more seasoning.,Megan,Monica,1
"""Craig did gift Eric a table picnic, new, owing to he borrowed some money time ago.""",Craig,Eric,1
"""Craig gift Eric a picnic table, new, because he gave ago back him some money.""",Craig,Eric,2
"Victoria was eager to make the big sale to Sarah, plus needed the money that day.",Victoria,Sarah,1
"Sarah had the money that day she, Victoria was eager to make the sale unto.",Victoria,Sarah,2
"""Robert do take voice lessons from Randy, plus he was known to be on American Idol.""",Robert,Randy,2
"""Whilst on the beach Cynthia is loving to wear a bikini, plus Laura did not because had stomach flat.""",office,house,2
"""Frankly, While on the beach Cynthia is loving to wear a bikini but Laura is not because the stomach of Laura is fat.""",Cynthia,Laura,2
"Paint was applied to the chairs but not the tables, since they were new.",chairs,tables,2
"""Paint was applied upon the chairs but not the tables, since they were old.""",chairs,tables,1
"""Matthew, popular with the teachers, as was Steven with the students, can be liked by adolescents.""",Matthew,Steven,2
"""The shoe James bought got hurt by a nail while jogging because the is softening.""",William,Kyle,1
Lawrence is liking watching <blank> movies foreign amidst words at the bottom unlike Jason because he did criticize the first language the film was.,Lawrence,Jason,2
"""Frankly, Lawrence is really liking watching with words at the bottom foreign movies plus he is really appreciating the first language of the film's.""",Lawrence,Jason,1
"""The fishing line snagged a rock because the <blank> was too heavy.""",fishing line,rock,2
"Frankly, Johnny is liking fruits more than vegetables in his new keto diet because these saccharine ones are.",fruits,vegetables,1
"""Victoria be grieving the death of a friend more than Elena, cause Victoria had a distant relationship with the friend.""",hammer,screwdriver,1
"Victoria is still grieving the death of a friend more than Elena, because Victoria had a relationship close with the friend.",Victoria,Elena,1
"""Frankly, the bill for past due costs and connection have extra. I am Frankl owing the money for being a new customer.""",past due,hookup,2
"""Cynthia had a life harder than Amy's, plus when said life be good, it was an unusual sentiment.""",Eric,Ian,2
"""The courage of Ian was a lot stronger than Michael because he had been through a lot in life.""",Ian,Michael,1
"""The chef's do fry up mushrooms, less than tomatoes, because these ones were ordered frequently at the restaurant.""",mushrooms,tomatoes,2
"""Lawrence deal out the cards to Joseph at the blackjack table plus he was a professional player.""",school,work,1
"You can grow cilantro in a garden or buy it at the store, but the variety can be bland because it can be older.",garden,store,2
"You can grow cilantro in a garden or buy it at the store, plus the variety you grow, which can taste better, can taste better because it will be fresh in.",garden,store,1
"""It can be more likely that Brett would wear a fedora rather than Justin because of him being known to dress.""",village,city,2
"""Brett, likely to wear a fedora rather than Justin because he did not dress stylishly, """,Brett,Justin,2
"""William did not mind if it took them a while to prepare a meal but Adam, of meticulous, did because he was.""",William,Adam,1
The wall of house's look nicer than the one in the garage despite the <blank> was painted recently.,Neil,Samuel,1
Kevin ate amounts large of food but not Adam. did not have to get checked to see if they had a tapeworm.,Kevin,Adam,2
"""Carrie's computer is running slower because <blank> is downloading less files.""",garage,room,1
"""Victoria's computer belonginged ran slower than Carrie's that belonging because she did her download less files.""",Victoria,Carrie,2
"My face was familiar than it was at the bar, plus more so, than the gym because I did go rarely to the.",bar,gym,2
My face could be more familiar than it was at the bar than the gym because I did go more to the  <blank> times a week.,water,sand,2
Elena enjoyed yoga classes while Amy preferred other forms of exercise; this is because of being flexible.,warts,limbs,1
"""Yoga classes Elena enjoyed while other forms of exercise Amy prefer; this because _ was inflexible was.""",Elena,Amy,2
"""Tried the cake didn't rise, and forgiving about it he are feeling.""",plastic,PVC,2
"""Natalie can take a time of longer to take a bath than Jennifer because she likes relaxing in the tub.""",Samantha,Rebecca,2
"""Rachel having a better start as a child, Mary was more reliable and hardworking than Rachel, plus be fair.""",Mary,Rachel,1
"""It can be likely that Donald would get the job promotion but not Jason stayed late and never did extra work.""",cut,puncture,2
"Natalie being a nanny for Lindsey, plus a background check were performed on Natalie.",Natalie,Lindsey,1
"""The man did pay cash for the phone, plus did purchase the tablet with credit because the tablet was pricy.""",leather,silk,1
The man did pay cash for the phone but is wanting the tablet with credit because the <blank> was inexpensive.,Phone,Tablet,1
"Logan being healthy, there are lots of pills in the home Neil's of, but none in the house Logan's of.",Neil,Logan,2
"""Carrie ask Betty where the children were upon the playground because she could not see these ones.""",Carrie,Betty,1
"""The region crowded for our comfortable stay's for all the people sent there, these ones were too small.""",region,people,1
"""Samantha have to get car insurance plus Jessica do not because Samantha do get a new car.""",Samantha,Jessica,1
"""The stain on Jason's shirt are lighter than Donald's because Jason did spill red wine and not white wine.""",Jason,Donald,2
The stain be darker on Jason's shirt than Donald's because <blank> did spill accidentally on red wine and not white wine.,Craig,Eric,1
Emily decide to eat a lot more yucca than Carrie did. _ was still hungry.,Emily,Carrie,2
"""Emily do decide to eat a lot more yucca than Carrie do. _ was no longer hungry.""",Emily,Carrie,1
Craig did not adjust the mirror because <blank> was shorter than the owner the car of.,Victoria,Sarah,2
"""Ian is needing to adjust the mirror, plus Craig is not owing to <blank> was the same height as the owner of the car which the owner was the same height as.""",Ian,Craig,2
I was told my eyes are failing so I am needing to get glasses or contacts seemed less comfortable since.,Cynthia,Laura,1
The teenager do get a job at the supermarket instead at the diner because he had to work during school at the <blank>.,supermarket,diner,2
"""The tip of James pencil's is breaking while writing on the paper sheet. The _ is being weak.""",chairs,tables,2
"""William is living in a part rougher of town's than Eric, plus they are training their dog as a guard dog.""",William,Eric,1
"""Jennifer did return the pan returned to Sarah because she had borrowed it from her for the potluck party.""",Jennifer,Sarah,1
"Actually, Jennifer returned the pan loaned to Sarah because Sarah had loaned it to her for the potluck party.",Jennifer,Sarah,2
"The doctor told Kevin to exercise often but not Neil, lazy and unmotivated, him being.",Lawrence,Jason,2
"Surprisingly, Neil, active and self-motivated he has been being, the doctor did tell Kevin to exercise more but not Neil.",Kevin,Neil,2
I am wondering how people prefer reading in a library instead of within the house plus the lack of people at would make it easier to concentrate.,fishing line,rock,2
"""I am wondering how people prefer reading in a library instead of in the house because it would be hard to concentrate with the amount of people.""",fruits,vegetables,1
"Michael, bad at math, didn't use a calculator on the test because Ryan had to use a calculator on the test.",Victoria,Elena,2
"""He went to put into his pocket the watch, but realized the chain did break. Without it, the <blank> isn't functioning correctly.""",pocket watch,chain,1
"""Jason was scared, plus he did watch sci-fi movies instead of horror movies because the <blank> were not scary.""",past due,hookup,2
"Christine accepted plus <blank> had a chance, better, of winning the overnight challenge from Laura.",Cynthia,Amy,1
"The woman did keep the bikini plus did return back the top, the top was right size.",bikini,top,1
"""Victoria did teach Elena how to count in Malay for their trip because Elena was a visitor to the island.""",Victoria,Elena,2
"""Angela beats Mary, steroidsed in the weightlifting competition, but it wasn't fair.""",Lawrence,Joseph,2
"Betty helped Kayla with the task, analysis plus they were assigned and then ask help for herself.",Betty,Kayla,1
"""The store sell Michael out a phone fake but not Eric so <blank> could still make a call.""",Michael,Eric,2
"""The juice from the mango fruit could not fill the cup up because small the is.""",Samantha,Sarah,1
Jeri did decide what to bring to a potluck plus did pick cookies because the  could be shared fewer people over a pie with.,cookies,pie,2
"Brian asked Nick to feed up their rabbit, plus he was planning on going on vacation to Disney for a week.",Brett,Justin,2
"""James did listen to the conversation from the other room but all he could hear was the clock ticking. The clock ticking is pretty loud.""",clock,conversation,1
"Dirtier than Amy's dog, since it lived in the street, was the one Laura found.",Laura,Amy,1
"""The ambulance go to the hospital without Nelson inside plus Ryan cause he driving there in a car.""",Nelson,Ryan,1
"""Craig was an individual selfish but Kenneth was an individual generous. Kenneth had a lot of friends good.""",Victoria,Carrie,1
It takes less time for Katrina to read the book than Cynthia plus _ was a reader better than.,Katrina,Cynthia,1
"""Bobby had to use his pen to finish the exam rather than the pencil because the was being full ink of.""",bar,gym,2
"""It were yoga easy for Matthew plus not Logan to practice because they are wanting to improve their mind and body.""",Matthew,Logan,1
"""Victoria, plus had passed the background check, was not called back for a second interview but Patricia was.""",Randy,Samuel,2
"""Patricia was called back Patricia for a second interview but not Victoria, owing to failing the background check.""",Patricia,Victoria,2
"""Dolls that talked back him Harold is liking to play with more than cars because.""",dolls,cars,1
There was more dirt on the car than the bike because the  was always kept inside.,Lawrence,Ryan,2
"""There was dirt, more, on the car than the bike because the  was kept outside.""",bike,car,2
"Michael was calm with yoga plus Jeffrey was hyper so, did decide to take up a yoga class.",Emily,Victoria,2
"""Carrie going is something that Patricia does often but Carrie rarely goes to because <blank> can be a bad cook.""",Emily,Victoria,1
"""Going to a restaurant can be something that Patricia does very often but Carrie rarely goes to one because _ is being a cook, good.""",Patricia,Carrie,2
"""Eric did go to Leslie house to play with new the dog, but there was no answer. _ was at the park.""",Eric,Leslie,2
"""Jessica spends a lot more money on silly things than Rachel because she is having more money to spend.""",Natalie,Lindsey,1
Erin did show Maria properly to use the fork and knife in a manner as attended etiquette school in.,Erin,Maria,1
"""Ian did win a fish from Kenneth at the carnival plus did send bagged fish home.""",Phone,Tablet,2
"""Steven help Derrick do research on the paper plus _ did not have access to the internet.""",Steven,Derrick,2
"""Steven help Derrick do research on the paper plus he had access to the internet.""",Steven,Derrick,1
"""Joel is needing advice on buying shares from his cousin Bob plus Eric is using an agent. He is having a collection nearly useless of companies.""",Joel,Eric,1
Rebecca asked Kayla to turn out the lights but is not wanting to go to sleep.,Rebecca,Kayla,2
"Dennis is changing the sand in a pool filter on behalf of Joseph, who is a bit lazy.",Dennis,Joseph,2
"""Hunter did give Justin two weeks to respond after sending him a demand letter. After that, he sued him in court.""",Jason,Donald,2
"""Jason is considering he and Benjamin to be friends plus he is putting effort into their relationship.""",Jason,Benjamin,1
"""Frankly, Jason is thinking he and Benjamin are friends plus their relationship has little effort.""",Emily,Carrie,2
"""Chocolate taking a minute longer to make soft in the microwave than the caramel, because it was hard.""",chocolate,caramel,1
"""the meeting that they were delayed by, they did discuss the company budget at, but the meeting was boring and it ran.""",budget,meeting,1
They discuss the company's budget at the business meeting but the <blank> was boring and the topic budget ran.,Ian,Craig,2
"Randy only add to his food a little bit of hot sauce, especially compared to Adam, Adam much more sensitive to spice is being.",wool,cotton,1
"Matt is wanting to change either plain the bathroom or the colorful bedroom, but the <blank> was already colorful.",bedroom,bathroom,1
"Matt is wanting to change either the plain bathroom or colorful the bedroom up, but the <blank> was already plain.",bedroom,bathroom,2
The snow did come down so much that Michael has go plow Kevin's driveway because <blank> am agreeing to take care of his neighbors.,Michael,Kevin,1
"""Snow come much down that Michael had to go plow Kevin's driveway because needed the help of neighbors.""",supermarket,diner,2
"""The girl do use the comb to try and brush her hair but the comb was too soft.""",hair,comb,2
"""They having on their hand paint from the spray paint used for graffiti, police did arrest Maria plus did quickly let go Cynthia.""",William,Eric,1
"""These unpainted ones hand's from the spray paint used for graffiti, Police did arrest Maria plus did let go Cynthia.""",urn,vase,1
"""Hunter did buy a vehicle to commute in but not Dennis because <blank> have a distance to drive to work.""",Hunter,Dennis,1
"""Owing to a shortage of it, Maria asked Cynthia if she could borrow some fuel.""",Maria,Cynthia,1
"The vehicle of Nelson's received more damage than those ones Justin's of, since it is smaller.",Kevin,Neil,1
"""Nelson vehicle receives more damage than Justin's, since it is bigger.""",Nelson,Justin,2
"Angela did a lot of crunches and sit-ups but Cynthia didn't, so she had abs six-pack.",library,house,2
"""Aaron showed Donald how to use google play on an android owing to his owning  apple phone""",library,house,1
"""Katrina being spoiled, turned out to be much more than Felicia because she did not have rich or generous parents.""",Katrina,Felicia,2
"Katrina, spoiled, turned out to be _ Felicia because _ had rich and generous parents.",Ryan,Michael,1
"Since he was so polite, Nelson had the best friendships except with Neil.",Nelson,Neil,1
"""Derrick like working in Human Resources plus William were wanting to work at the same company, and he then accepts a job.""",Derrick,William,2
"""The room at the hotel costs more to stay in than the room at the inn because it was nastier.""",hotel,inn,2
"""The room at the hotel costs more to stay in than the room at the inn because the  was nicer.""",hotel,inn,1
"""The woman do practice for her interview and not for the sport since the <blank> was expedient.""",interview,sport,1
"""The boot was removed from the car tire and put the truck tire on, because the <blank> was now illegally parked.""",car,truck,2
"The boot was removed from the car tire and put on truck tire the, since the  was now legally parked.",car,truck,1
"""He is finding it harder to write the letter than the e-mail because the <blank> had words so few.""",Angela,Mary,1
Jane is loving travelling internationally. Currently the country  was in preferred wine over tea because the <blank> was less available.,wine,tea,2
Adam is loving dogs but Jason was afraid regarding those ones he only petted the poodle.,Adam,Jason,1
Elena bring the horse unto the stables owned by Cynthia so <blank> could buy the animal.,Elena,Cynthia,2
"""Elena did bring to the stables the horse so <blank> could sell the animal.""",Elena,Cynthia,1
"""This is because Kenneth, feeling relaxed, did not want to get a massage."" or ""This is for Kenneth, feeling relaxed, did not want to get a massage.""",Brian,Nick,1
"""Ryan were behind Donald in school because <blank> had a diagnosed learning problem.""",clock,conversation,1
"""Hunter's using badly up a bad skin lotion, Craig is having dry skin problems but not Hunter.""",Craig,Hunter,1
"""Opposed to Laura, Carrie is loving putting sugar in coffee because <blank> thinks the coffee tastes better.""",Carrie,Laura,1
"Brett was taking part increased in weight loss but Benjamin was trying to get heavier, plus they increased their food intake.",Brett,Benjamin,2
"""John did paint the pole red to the color the wall plus painted the frame white and now the _ is similar.""",frame,pole,2
Mark is preferring his drinks in paper cups over styrofoam cups plus these ones are strong.,styrofoam cups,paper cups,2
"""Derrick was sad that Robert did not show up, forgot they did have an agreement to meet each other.""",Derrick,Robert,2
"She is thinking her makeup had expired after she did put it on her skin because her <blank> was harder, old.",makeup,skin,1
"""Kevin did draw out the blood from Ian arm because the doctor was giving it to do some tests.""",Kevin,Ian,2
"""Sookie does roast a turkey and served it with potatoes instead of carrots, because everyone in her family would have hated the <blank>.""",carrots,potatoes,1
They were wanting to move the bed through the door. The door was small.,door,bed,1
Betty learned to play up the cello well plus Erin did not because <blank> is being impatient.,bike,car,2
"Logan did end the relationship one-sided they were having with Robert, plus made  feel relieved about.",Logan,Robert,1
Erin were eating more than Betty were eating for dinner because _ had a big lunch.,Patricia,Carrie,1
"""Erin were eating more than Betty were eating for dinner because  had skipped lunch.""",Patricia,Carrie,2
