Language_ID,Parameter_ID,Value
Malaysian English,She/her used for inanimate referents,D
Australian English,She/her used for inanimate referents,C
Australian Vernacular English,She/her used for inanimate referents,B
Aboriginal English,She/her used for inanimate referents,B
Roper River Creole (Kriol),She/her used for inanimate referents,?
Torres Strait Creole,She/her used for inanimate referents,?
New Zealand English,She/her used for inanimate referents,B
Norfolk Island/ Pitcairn English,She/her used for inanimate referents,D
Palmerston English,She/her used for inanimate referents,D
Acrolectal Fiji English,She/her used for inanimate referents,?
Pure Fiji English (basilectal FijiE),She/her used for inanimate referents,B
Bislama,She/her used for inanimate referents,X
Tok Pisin,She/her used for inanimate referents,X
Hawaiʼi Creole,She/her used for inanimate referents,C
Falkland Islands English,She/her used for inanimate referents,B
St. Helena English,She/her used for inanimate referents,C
Tristan da Cunha English,She/her used for inanimate referents,B
Philippine English,She/her used for inanimate referents,C
Cape Flats English,She/her used for inanimate referents,C
Orkney and Shetland English,He/him used for inanimate referents,B
Scottish English,He/him used for inanimate referents,D
Irish English,He/him used for inanimate referents,D
Manx English,He/him used for inanimate referents,D
Welsh English,He/him used for inanimate referents,B
English dialects in the North of England,He/him used for inanimate referents,C
English dialects in the Southwest of England,He/him used for inanimate referents,B
East Anglian English,He/him used for inanimate referents,D
English dialects in the Southeast of England,He/him used for inanimate referents,D
Channel Islands English,He/him used for inanimate referents,C
British Creole,He/him used for inanimate referents,D
Maltese English,He/him used for inanimate referents,D
Newfoundland English,He/him used for inanimate referents,B
Colloquial American English,He/him used for inanimate referents,X
Urban African American Vernacular English,He/him used for inanimate referents,D
Rural African American Vernacular English,He/him used for inanimate referents,D
Earlier African American Vernacular English,He/him used for inanimate referents,C
Ozark English,He/him used for inanimate referents,C
Appalachian English,He/him used for inanimate referents,D
Southeast American enclave dialects,He/him used for inanimate referents,C
Gullah,He/him used for inanimate referents,?
Chicano English,He/him used for inanimate referents,?
Bahamian English,He/him used for inanimate referents,D
Bahamian Creole,He/him used for inanimate referents,B
Barbadian Creole (Bajan),He/him used for inanimate referents,C
Jamaican English,He/him used for inanimate referents,D
Jamaican Creole,He/him used for inanimate referents,B
San Andrés Creole,He/him used for inanimate referents,D
Belizean Creole,He/him used for inanimate referents,D
Guyanese Creole (Creolese),He/him used for inanimate referents,B
Eastern Maroon Creole,He/him used for inanimate referents,X
Saramaccan,He/him used for inanimate referents,X
Sranan,He/him used for inanimate referents,X
Trinidadian Creole,He/him used for inanimate referents,D
Vincentian Creole,He/him used for inanimate referents,D
Krio (Sierra Leone Creole),He/him used for inanimate referents,X
Liberian Settler English,He/him used for inanimate referents,D
Vernacular Liberian English,He/him used for inanimate referents,D
Ghanaian English,He/him used for inanimate referents,D
Ghanaian Pidgin,He/him used for inanimate referents,X
Nigerian English,He/him used for inanimate referents,D
Nigerian Pidgin,He/him used for inanimate referents,X
Cameroon English,He/him used for inanimate referents,D
Cameroon Pidgin,He/him used for inanimate referents,X
Tanzanian English,He/him used for inanimate referents,D
Kenyan English,He/him used for inanimate referents,D
Ugandan English,He/him used for inanimate referents,D
White Zimbabwean English,He/him used for inanimate referents,D
Black South African English,He/him used for inanimate referents,C
Indian South African English,He/him used for inanimate referents,D
White South African English,He/him used for inanimate referents,D
Indian English,He/him used for inanimate referents,D
Pakistani English,He/him used for inanimate referents,D
Butler English,He/him used for inanimate referents,B
Sri Lankan English,He/him used for inanimate referents,D
Hong Kong English,He/him used for inanimate referents,D
Colloquial Singapore English (Singlish),He/him used for inanimate referents,D
Malaysian English,He/him used for inanimate referents,D
Australian English,He/him used for inanimate referents,X
Australian Vernacular English,He/him used for inanimate referents,B
Aboriginal English,He/him used for inanimate referents,B
Roper River Creole (Kriol),He/him used for inanimate referents,D
Torres Strait Creole,He/him used for inanimate referents,?
New Zealand English,He/him used for inanimate referents,D
Norfolk Island/ Pitcairn English,He/him used for inanimate referents,D
Palmerston English,He/him used for inanimate referents,B
Acrolectal Fiji English,He/him used for inanimate referents,D
Pure Fiji English (basilectal FijiE),He/him used for inanimate referents,B
Bislama,He/him used for inanimate referents,X
Tok Pisin,He/him used for inanimate referents,X
Hawaiʼi Creole,He/him used for inanimate referents,C
Falkland Islands English,He/him used for inanimate referents,D
St. Helena English,He/him used for inanimate referents,D
Tristan da Cunha English,He/him used for inanimate referents,D
Philippine English,He/him used for inanimate referents,D
Cape Flats English,He/him used for inanimate referents,D
Orkney and Shetland English,Alternative forms/phrases for referential (non-dummy) it,X
Scottish English,Alternative forms/phrases for referential (non-dummy) it,?
Irish English,Alternative forms/phrases for referential (non-dummy) it,A
Manx English,Alternative forms/phrases for referential (non-dummy) it,B
Welsh English,Alternative forms/phrases for referential (non-dummy) it,B
English dialects in the North of England,Alternative forms/phrases for referential (non-dummy) it,?
English dialects in the Southwest of England,Alternative forms/phrases for referential (non-dummy) it,?
East Anglian English,Alternative forms/phrases for referential (non-dummy) it,D
English dialects in the Southeast of England,Alternative forms/phrases for referential (non-dummy) it,D
Channel Islands English,Alternative forms/phrases for referential (non-dummy) it,D
British Creole,Alternative forms/phrases for referential (non-dummy) it,B
Maltese English,Alternative forms/phrases for referential (non-dummy) it,C
Newfoundland English,Alternative forms/phrases for referential (non-dummy) it,?
Colloquial American English,Alternative forms/phrases for referential (non-dummy) it,D
Urban African American Vernacular English,Alternative forms/phrases for referential (non-dummy) it,B
Rural African American Vernacular English,Alternative forms/phrases for referential (non-dummy) it,D
Earlier African American Vernacular English,Alternative forms/phrases for referential (non-dummy) it,C
Ozark English,Alternative forms/phrases for referential (non-dummy) it,A
Appalachian English,Alternative forms/phrases for referential (non-dummy) it,X
Southeast American enclave dialects,Alternative forms/phrases for referential (non-dummy) it,B
Gullah,Alternative forms/phrases for referential (non-dummy) it,C
Chicano English,Alternative forms/phrases for referential (non-dummy) it,?
Bahamian English,Alternative forms/phrases for referential (non-dummy) it,B
Bahamian Creole,Alternative forms/phrases for referential (non-dummy) it,D
Barbadian Creole (Bajan),Alternative forms/phrases for referential (non-dummy) it,X
Jamaican English,Alternative forms/phrases for referential (non-dummy) it,?
Jamaican Creole,Alternative forms/phrases for referential (non-dummy) it,A
San Andrés Creole,Alternative forms/phrases for referential (non-dummy) it,B
Belizean Creole,Alternative forms/phrases for referential (non-dummy) it,B
Guyanese Creole (Creolese),Alternative forms/phrases for referential (non-dummy) it,A
Eastern Maroon Creole,Alternative forms/phrases for referential (non-dummy) it,A
Saramaccan,Alternative forms/phrases for referential (non-dummy) it,D
Sranan,Alternative forms/phrases for referential (non-dummy) it,X
Trinidadian Creole,Alternative forms/phrases for referential (non-dummy) it,B
Vincentian Creole,Alternative forms/phrases for referential (non-dummy) it,B
Krio (Sierra Leone Creole),Alternative forms/phrases for referential (non-dummy) it,?
Liberian Settler English,Alternative forms/phrases for referential (non-dummy) it,B
Vernacular Liberian English,Alternative forms/phrases for referential (non-dummy) it,D
Ghanaian English,Alternative forms/phrases for referential (non-dummy) it,B
Ghanaian Pidgin,Alternative forms/phrases for referential (non-dummy) it,B
Nigerian English,Alternative forms/phrases for referential (non-dummy) it,?
Nigerian Pidgin,Alternative forms/phrases for referential (non-dummy) it,B
Cameroon English,Alternative forms/phrases for referential (non-dummy) it,B
Cameroon Pidgin,Alternative forms/phrases for referential (non-dummy) it,?
Tanzanian English,Alternative forms/phrases for referential (non-dummy) it,D
Kenyan English,Alternative forms/phrases for referential (non-dummy) it,?
Ugandan English,Alternative forms/phrases for referential (non-dummy) it,D
White Zimbabwean English,Alternative forms/phrases for referential (non-dummy) it,B
Black South African English,Alternative forms/phrases for referential (non-dummy) it,C
Indian South African English,Alternative forms/phrases for referential (non-dummy) it,B
White South African English,Alternative forms/phrases for referential (non-dummy) it,B
Indian English,Alternative forms/phrases for referential (non-dummy) it,D
Pakistani English,Alternative forms/phrases for referential (non-dummy) it,C
Butler English,Alternative forms/phrases for referential (non-dummy) it,B
Sri Lankan English,Alternative forms/phrases for referential (non-dummy) it,D
Hong Kong English,Alternative forms/phrases for referential (non-dummy) it,?
Colloquial Singapore English (Singlish),Alternative forms/phrases for referential (non-dummy) it,B
Malaysian English,Alternative forms/phrases for referential (non-dummy) it,A
Australian English,Alternative forms/phrases for referential (non-dummy) it,B
Australian Vernacular English,Alternative forms/phrases for referential (non-dummy) it,B
Aboriginal English,Alternative forms/phrases for referential (non-dummy) it,A
Roper River Creole (Kriol),Alternative forms/phrases for referential (non-dummy) it,?
Torres Strait Creole,Alternative forms/phrases for referential (non-dummy) it,?
New Zealand English,Alternative forms/phrases for referential (non-dummy) it,B
Norfolk Island/ Pitcairn English,Alternative forms/phrases for referential (non-dummy) it,B
Palmerston English,Alternative forms/phrases for referential (non-dummy) it,B
Acrolectal Fiji English,Alternative forms/phrases for referential (non-dummy) it,D
Pure Fiji English (basilectal FijiE),Alternative forms/phrases for referential (non-dummy) it,A
Bislama,Alternative forms/phrases for referential (non-dummy) it,B
Tok Pisin,Alternative forms/phrases for referential (non-dummy) it,X
Hawaiʼi Creole,Alternative forms/phrases for referential (non-dummy) it,A
Falkland Islands English,Alternative forms/phrases for referential (non-dummy) it,D
St. Helena English,Alternative forms/phrases for referential (non-dummy) it,D
Tristan da Cunha English,Alternative forms/phrases for referential (non-dummy) it,D
Philippine English,Alternative forms/phrases for referential (non-dummy) it,B
Cape Flats English,Alternative forms/phrases for referential (non-dummy) it,C
Orkney and Shetland English,Alternative forms/phrases for dummy it,B
Scottish English,Alternative forms/phrases for dummy it,D
Irish English,Alternative forms/phrases for dummy it,D
Manx English,Alternative forms/phrases for dummy it,D
Welsh English,Alternative forms/phrases for dummy it,D
English dialects in the North of England,Alternative forms/phrases for dummy it,D
English dialects in the Southwest of England,Alternative forms/phrases for dummy it,D
East Anglian English,Alternative forms/phrases for dummy it,A
English dialects in the Southeast of England,Alternative forms/phrases for dummy it,D
Channel Islands English,Alternative forms/phrases for dummy it,D
British Creole,Alternative forms/phrases for dummy it,D
Maltese English,Alternative forms/phrases for dummy it,D
Newfoundland English,Alternative forms/phrases for dummy it,?
Colloquial American English,Alternative forms/phrases for dummy it,X
Urban African American Vernacular English,Alternative forms/phrases for dummy it,C
Rural African American Vernacular English,Alternative forms/phrases for dummy it,C
Earlier African American Vernacular English,Alternative forms/phrases for dummy it,?
Ozark English,Alternative forms/phrases for dummy it,D
Appalachian English,Alternative forms/phrases for dummy it,D
Southeast American enclave dialects,Alternative forms/phrases for dummy it,C
Gullah,Alternative forms/phrases for dummy it,X
Chicano English,Alternative forms/phrases for dummy it,D
Bahamian English,Alternative forms/phrases for dummy it,B
Bahamian Creole,Alternative forms/phrases for dummy it,D
Barbadian Creole (Bajan),Alternative forms/phrases for dummy it,X
Jamaican English,Alternative forms/phrases for dummy it,?
Jamaican Creole,Alternative forms/phrases for dummy it,D
San Andrés Creole,Alternative forms/phrases for dummy it,D
Belizean Creole,Alternative forms/phrases for dummy it,B
Guyanese Creole (Creolese),Alternative forms/phrases for dummy it,A
Eastern Maroon Creole,Alternative forms/phrases for dummy it,?
Saramaccan,Alternative forms/phrases for dummy it,D
Sranan,Alternative forms/phrases for dummy it,D
Trinidadian Creole,Alternative forms/phrases for dummy it,D
Vincentian Creole,Alternative forms/phrases for dummy it,D
Krio (Sierra Leone Creole),Alternative forms/phrases for dummy it,D
Liberian Settler English,Alternative forms/phrases for dummy it,C
Vernacular Liberian English,Alternative forms/phrases for dummy it,D
Ghanaian English,Alternative forms/phrases for dummy it,D
Ghanaian Pidgin,Alternative forms/phrases for dummy it,D
Nigerian English,Alternative forms/phrases for dummy it,D
Nigerian Pidgin,Alternative forms/phrases for dummy it,D
Cameroon English,Alternative forms/phrases for dummy it,D
Cameroon Pidgin,Alternative forms/phrases for dummy it,D
Tanzanian English,Alternative forms/phrases for dummy it,D
Kenyan English,Alternative forms/phrases for dummy it,X
Ugandan English,Alternative forms/phrases for dummy it,D
White Zimbabwean English,Alternative forms/phrases for dummy it,D
Black South African English,Alternative forms/phrases for dummy it,D
Indian South African English,Alternative forms/phrases for dummy it,D
White South African English,Alternative forms/phrases for dummy it,D
Indian English,Alternative forms/phrases for dummy it,B
Pakistani English,Alternative forms/phrases for dummy it,D
Butler English,Alternative forms/phrases for dummy it,C
Sri Lankan English,Alternative forms/phrases for dummy it,D
Hong Kong English,Alternative forms/phrases for dummy it,D
Colloquial Singapore English (Singlish),Alternative forms/phrases for dummy it,D
Malaysian English,Alternative forms/phrases for dummy it,D
Australian English,Alternative forms/phrases for dummy it,X
Australian Vernacular English,Alternative forms/phrases for dummy it,X
Aboriginal English,Alternative forms/phrases for dummy it,A
Roper River Creole (Kriol),Alternative forms/phrases for dummy it,?
Torres Strait Creole,Alternative forms/phrases for dummy it,A
New Zealand English,Alternative forms/phrases for dummy it,C
Norfolk Island/ Pitcairn English,Alternative forms/phrases for dummy it,D
Palmerston English,Alternative forms/phrases for dummy it,D
Acrolectal Fiji English,Alternative forms/phrases for dummy it,D
Pure Fiji English (basilectal FijiE),Alternative forms/phrases for dummy it,?
Bislama,Alternative forms/phrases for dummy it,X
Tok Pisin,Alternative forms/phrases for dummy it,X
Hawaiʼi Creole,Alternative forms/phrases for dummy it,C
Falkland Islands English,Alternative forms/phrases for dummy it,D
St. Helena English,Alternative forms/phrases for dummy it,B
Tristan da Cunha English,Alternative forms/phrases for dummy it,C
Philippine English,Alternative forms/phrases for dummy it,D
Cape Flats English,Alternative forms/phrases for dummy it,D
Orkney and Shetland English,Generalized third person singular pronoun: subject pronouns,D
Scottish English,Generalized third person singular pronoun: subject pronouns,D
Irish English,Generalized third person singular pronoun: subject pronouns,D
Manx English,Generalized third person singular pronoun: subject pronouns,D
Welsh English,Generalized third person singular pronoun: subject pronouns,D
English dialects in the North of England,Generalized third person singular pronoun: subject pronouns,D
English dialects in the Southwest of England,Generalized third person singular pronoun: subject pronouns,D
East Anglian English,Generalized third person singular pronoun: subject pronouns,D
English dialects in the Southeast of England,Generalized third person singular pronoun: subject pronouns,D
Channel Islands English,Generalized third person singular pronoun: subject pronouns,D
British Creole,Generalized third person singular pronoun: subject pronouns,B
Maltese English,Generalized third person singular pronoun: subject pronouns,D
Newfoundland English,Generalized third person singular pronoun: subject pronouns,D
Colloquial American English,Generalized third person singular pronoun: subject pronouns,D
Urban African American Vernacular English,Generalized third person singular pronoun: subject pronouns,C
Rural African American Vernacular English,Generalized third person singular pronoun: subject pronouns,D
Earlier African American Vernacular English,Generalized third person singular pronoun: subject pronouns,D
Ozark English,Generalized third person singular pronoun: subject pronouns,X
Appalachian English,Generalized third person singular pronoun: subject pronouns,D
Southeast American enclave dialects,Generalized third person singular pronoun: subject pronouns,C
Gullah,Generalized third person singular pronoun: subject pronouns,B
Chicano English,Generalized third person singular pronoun: subject pronouns,D
Bahamian English,Generalized third person singular pronoun: subject pronouns,C
Bahamian Creole,Generalized third person singular pronoun: subject pronouns,B
Barbadian Creole (Bajan),Generalized third person singular pronoun: subject pronouns,B
Jamaican English,Generalized third person singular pronoun: subject pronouns,C
Jamaican Creole,Generalized third person singular pronoun: subject pronouns,A
San Andrés Creole,Generalized third person singular pronoun: subject pronouns,D
Belizean Creole,Generalized third person singular pronoun: subject pronouns,A
Guyanese Creole (Creolese),Generalized third person singular pronoun: subject pronouns,A
Eastern Maroon Creole,Generalized third person singular pronoun: subject pronouns,A
Saramaccan,Generalized third person singular pronoun: subject pronouns,A
Sranan,Generalized third person singular pronoun: subject pronouns,A
Trinidadian Creole,Generalized third person singular pronoun: subject pronouns,D
Vincentian Creole,Generalized third person singular pronoun: subject pronouns,A
Krio (Sierra Leone Creole),Generalized third person singular pronoun: subject pronouns,A
Liberian Settler English,Generalized third person singular pronoun: subject pronouns,D
Vernacular Liberian English,Generalized third person singular pronoun: subject pronouns,C
Ghanaian English,Generalized third person singular pronoun: subject pronouns,C
Ghanaian Pidgin,Generalized third person singular pronoun: subject pronouns,A
Nigerian English,Generalized third person singular pronoun: subject pronouns,D
Nigerian Pidgin,Generalized third person singular pronoun: subject pronouns,A
Cameroon English,Generalized third person singular pronoun: subject pronouns,D
Cameroon Pidgin,Generalized third person singular pronoun: subject pronouns,A
Tanzanian English,Generalized third person singular pronoun: subject pronouns,D
Kenyan English,Generalized third person singular pronoun: subject pronouns,D
Ugandan English,Generalized third person singular pronoun: subject pronouns,D
White Zimbabwean English,Generalized third person singular pronoun: subject pronouns,D
Black South African English,Generalized third person singular pronoun: subject pronouns,D
Indian South African English,Generalized third person singular pronoun: subject pronouns,D
White South African English,Generalized third person singular pronoun: subject pronouns,D
Indian English,Generalized third person singular pronoun: subject pronouns,D
Pakistani English,Generalized third person singular pronoun: subject pronouns,D
Butler English,Generalized third person singular pronoun: subject pronouns,D
Sri Lankan English,Generalized third person singular pronoun: subject pronouns,D
Hong Kong English,Generalized third person singular pronoun: subject pronouns,D
Colloquial Singapore English (Singlish),Generalized third person singular pronoun: subject pronouns,D
Malaysian English,Generalized third person singular pronoun: subject pronouns,D
Australian English,Generalized third person singular pronoun: subject pronouns,X
Australian Vernacular English,Generalized third person singular pronoun: subject pronouns,X
Aboriginal English,Generalized third person singular pronoun: subject pronouns,A
Roper River Creole (Kriol),Generalized third person singular pronoun: subject pronouns,A
Torres Strait Creole,Generalized third person singular pronoun: subject pronouns,A
New Zealand English,Generalized third person singular pronoun: subject pronouns,D
Norfolk Island/ Pitcairn English,Generalized third person singular pronoun: subject pronouns,D
Palmerston English,Generalized third person singular pronoun: subject pronouns,C
Acrolectal Fiji English,Generalized third person singular pronoun: subject pronouns,D
Pure Fiji English (basilectal FijiE),Generalized third person singular pronoun: subject pronouns,A
Bislama,Generalized third person singular pronoun: subject pronouns,A
Tok Pisin,Generalized third person singular pronoun: subject pronouns,A
Hawaiʼi Creole,Generalized third person singular pronoun: subject pronouns,D
Falkland Islands English,Generalized third person singular pronoun: subject pronouns,D
St. Helena English,Generalized third person singular pronoun: subject pronouns,D
Tristan da Cunha English,Generalized third person singular pronoun: subject pronouns,D
Philippine English,Generalized third person singular pronoun: subject pronouns,X
Cape Flats English,Generalized third person singular pronoun: subject pronouns,D
Orkney and Shetland English,Generalized third person singular pronoun: object pronouns,D
Scottish English,Generalized third person singular pronoun: object pronouns,D
Irish English,Generalized third person singular pronoun: object pronouns,D
Manx English,Generalized third person singular pronoun: object pronouns,D
Welsh English,Generalized third person singular pronoun: object pronouns,D
English dialects in the North of England,Generalized third person singular pronoun: object pronouns,D
English dialects in the Southwest of England,Generalized third person singular pronoun: object pronouns,D
East Anglian English,Generalized third person singular pronoun: object pronouns,D
English dialects in the Southeast of England,Generalized third person singular pronoun: object pronouns,D
Channel Islands English,Generalized third person singular pronoun: object pronouns,D
British Creole,Generalized third person singular pronoun: object pronouns,B
Maltese English,Generalized third person singular pronoun: object pronouns,D
Newfoundland English,Generalized third person singular pronoun: object pronouns,C
Colloquial American English,Generalized third person singular pronoun: object pronouns,D
Urban African American Vernacular English,Generalized third person singular pronoun: object pronouns,D
Rural African American Vernacular English,Generalized third person singular pronoun: object pronouns,D
Earlier African American Vernacular English,Generalized third person singular pronoun: object pronouns,D
Ozark English,Generalized third person singular pronoun: object pronouns,X
Appalachian English,Generalized third person singular pronoun: object pronouns,D
Southeast American enclave dialects,Generalized third person singular pronoun: object pronouns,D
Gullah,Generalized third person singular pronoun: object pronouns,A
Chicano English,Generalized third person singular pronoun: object pronouns,D
Bahamian English,Generalized third person singular pronoun: object pronouns,D
Bahamian Creole,Generalized third person singular pronoun: object pronouns,B
Barbadian Creole (Bajan),Generalized third person singular pronoun: object pronouns,A
Jamaican English,Generalized third person singular pronoun: object pronouns,C
Jamaican Creole,Generalized third person singular pronoun: object pronouns,A
San Andrés Creole,Generalized third person singular pronoun: object pronouns,D
Belizean Creole,Generalized third person singular pronoun: object pronouns,A
Guyanese Creole (Creolese),Generalized third person singular pronoun: object pronouns,A
Eastern Maroon Creole,Generalized third person singular pronoun: object pronouns,A
Saramaccan,Generalized third person singular pronoun: object pronouns,A
Sranan,Generalized third person singular pronoun: object pronouns,A
Trinidadian Creole,Generalized third person singular pronoun: object pronouns,D
Vincentian Creole,Generalized third person singular pronoun: object pronouns,A
Krio (Sierra Leone Creole),Generalized third person singular pronoun: object pronouns,A
Liberian Settler English,Generalized third person singular pronoun: object pronouns,D
Vernacular Liberian English,Generalized third person singular pronoun: object pronouns,D
Ghanaian English,Generalized third person singular pronoun: object pronouns,C
Ghanaian Pidgin,Generalized third person singular pronoun: object pronouns,A
Nigerian English,Generalized third person singular pronoun: object pronouns,D
Nigerian Pidgin,Generalized third person singular pronoun: object pronouns,A
Cameroon English,Generalized third person singular pronoun: object pronouns,D
Cameroon Pidgin,Generalized third person singular pronoun: object pronouns,A
Tanzanian English,Generalized third person singular pronoun: object pronouns,D
Kenyan English,Generalized third person singular pronoun: object pronouns,D
Ugandan English,Generalized third person singular pronoun: object pronouns,D
White Zimbabwean English,Generalized third person singular pronoun: object pronouns,D
Black South African English,Generalized third person singular pronoun: object pronouns,C
Indian South African English,Generalized third person singular pronoun: object pronouns,D
White South African English,Generalized third person singular pronoun: object pronouns,D
Indian English,Generalized third person singular pronoun: object pronouns,D
Pakistani English,Generalized third person singular pronoun: object pronouns,D
Butler English,Generalized third person singular pronoun: object pronouns,D
Sri Lankan English,Generalized third person singular pronoun: object pronouns,D
Hong Kong English,Generalized third person singular pronoun: object pronouns,D
Colloquial Singapore English (Singlish),Generalized third person singular pronoun: object pronouns,D
Malaysian English,Generalized third person singular pronoun: object pronouns,D
Australian English,Generalized third person singular pronoun: object pronouns,X
Australian Vernacular English,Generalized third person singular pronoun: object pronouns,X
Aboriginal English,Generalized third person singular pronoun: object pronouns,A
Roper River Creole (Kriol),Generalized third person singular pronoun: object pronouns,A
Torres Strait Creole,Generalized third person singular pronoun: object pronouns,A
New Zealand English,Generalized third person singular pronoun: object pronouns,D
Norfolk Island/ Pitcairn English,Generalized third person singular pronoun: object pronouns,A
Palmerston English,Generalized third person singular pronoun: object pronouns,C
Acrolectal Fiji English,Generalized third person singular pronoun: object pronouns,D
Pure Fiji English (basilectal FijiE),Generalized third person singular pronoun: object pronouns,A
Bislama,Generalized third person singular pronoun: object pronouns,X
Tok Pisin,Generalized third person singular pronoun: object pronouns,X
Hawaiʼi Creole,Generalized third person singular pronoun: object pronouns,A
Falkland Islands English,Generalized third person singular pronoun: object pronouns,D
St. Helena English,Generalized third person singular pronoun: object pronouns,D
Tristan da Cunha English,Generalized third person singular pronoun: object pronouns,D
Philippine English,Generalized third person singular pronoun: object pronouns,X
Cape Flats English,Generalized third person singular pronoun: object pronouns,D
Orkney and Shetland English,Me instead of I in coordinate subjects,B
Scottish English,Me instead of I in coordinate subjects,A
Irish English,Me instead of I in coordinate subjects,B
Manx English,Me instead of I in coordinate subjects,B
Welsh English,Me instead of I in coordinate subjects,A
English dialects in the North of England,Me instead of I in coordinate subjects,A
English dialects in the Southwest of England,Me instead of I in coordinate subjects,B
East Anglian English,Me instead of I in coordinate subjects,A
English dialects in the Southeast of England,Me instead of I in coordinate subjects,A
Channel Islands English,Me instead of I in coordinate subjects,B
British Creole,Me instead of I in coordinate subjects,A
Maltese English,Me instead of I in coordinate subjects,B
Newfoundland English,Me instead of I in coordinate subjects,A
Colloquial American English,Me instead of I in coordinate subjects,B
Urban African American Vernacular English,Me instead of I in coordinate subjects,A
Rural African American Vernacular English,Me instead of I in coordinate subjects,A
Earlier African American Vernacular English,Me instead of I in coordinate subjects,A
Ozark English,Me instead of I in coordinate subjects,A
Appalachian English,Me instead of I in coordinate subjects,A
Southeast American enclave dialects,Me instead of I in coordinate subjects,A
Gullah,Me instead of I in coordinate subjects,B
Chicano English,Me instead of I in coordinate subjects,B
Bahamian English,Me instead of I in coordinate subjects,A
Bahamian Creole,Me instead of I in coordinate subjects,B
Barbadian Creole (Bajan),Me instead of I in coordinate subjects,A
Jamaican English,Me instead of I in coordinate subjects,B
Jamaican Creole,Me instead of I in coordinate subjects,A
San Andrés Creole,Me instead of I in coordinate subjects,A
Belizean Creole,Me instead of I in coordinate subjects,A
Guyanese Creole (Creolese),Me instead of I in coordinate subjects,A
Eastern Maroon Creole,Me instead of I in coordinate subjects,X
Saramaccan,Me instead of I in coordinate subjects,X
Sranan,Me instead of I in coordinate subjects,A
Trinidadian Creole,Me instead of I in coordinate subjects,A
Vincentian Creole,Me instead of I in coordinate subjects,A
Krio (Sierra Leone Creole),Me instead of I in coordinate subjects,A
Liberian Settler English,Me instead of I in coordinate subjects,B
Vernacular Liberian English,Me instead of I in coordinate subjects,A
Ghanaian English,Me instead of I in coordinate subjects,C
Ghanaian Pidgin,Me instead of I in coordinate subjects,A
Nigerian English,Me instead of I in coordinate subjects,A
Nigerian Pidgin,Me instead of I in coordinate subjects,B
Cameroon English,Me instead of I in coordinate subjects,A
Cameroon Pidgin,Me instead of I in coordinate subjects,B
Tanzanian English,Me instead of I in coordinate subjects,B
Kenyan English,Me instead of I in coordinate subjects,B
Ugandan English,Me instead of I in coordinate subjects,B
White Zimbabwean English,Me instead of I in coordinate subjects,B
Black South African English,Me instead of I in coordinate subjects,A
Indian South African English,Me instead of I in coordinate subjects,A
White South African English,Me instead of I in coordinate subjects,B
